emdb_id,resolution,fitted_pdbs,deposition_date,map_release_date
EMD-6667,3.01,5h5u,2016-11-09T00:00:00Z,2017-01-25T00:00:00Z
EMD-6668,4.4,5h64,2016-11-10T00:00:00Z,2017-01-25T00:00:00Z
EMD-6656,3.5,5h3o,2016-10-26T00:00:00Z,2017-01-25T00:00:00Z
EMD-3571,4.0,5muu,2017-01-14T00:00:00Z,2017-03-22T00:00:00Z
EMD-6686,3.4,5wte,2016-12-11T00:00:00Z,2017-01-25T00:00:00Z
EMD-6657,4.5,,2016-10-26T00:00:00Z,2017-01-25T00:00:00Z
EMD-6684,4.0,5wsg,2016-12-06T00:00:00Z,2017-01-25T00:00:00Z
EMD-8584,3.74,5up6,2017-02-01T00:00:00Z,2017-03-29T00:00:00Z
EMD-8479,4.4,5u0p,2016-11-26T00:00:00Z,2017-03-08T00:00:00Z
EMD-8598,2.9,5urf,2017-02-10T00:00:00Z,2017-03-29T00:00:00Z
EMD-8605,3.0,5us9,2017-02-13T00:00:00Z,2017-03-29T00:00:00Z
EMD-8604,2.8,5us7,2017-02-13T00:00:00Z,2017-03-29T00:00:00Z
EMD-3624,3.7,5nd8,2017-03-07T00:00:00Z,2017-06-28T00:00:00Z
EMD-3625,3.7,5nd9,2017-03-07T00:00:00Z,2017-06-28T00:00:00Z
EMD-3622,4.4,5nd4,2017-03-07T00:00:00Z,2017-10-04T00:00:00Z
EMD-8577,4.6,5uot,2017-02-01T00:00:00Z,2018-02-21T00:00:00Z
EMD-8609,4.4,,2017-02-20T00:00:00Z,2017-04-12T00:00:00Z
EMD-6709,3.4,5x8p,2017-03-03T00:00:00Z,2017-06-14T00:00:00Z
EMD-3715,4.7,,2017-05-10T00:00:00Z,2017-06-28T00:00:00Z
EMD-6746,4.12,5zbo,2017-05-26T00:00:00Z,2017-06-14T00:00:00Z
EMD-3751,3.31,5o61,2017-06-03T00:00:00Z,2017-07-12T00:00:00Z
EMD-3757,4.7,,2017-06-07T00:00:00Z,2017-07-12T00:00:00Z
EMD-3752,3.9,5o6a,2017-06-06T00:00:00Z,2018-02-07T00:00:00Z
EMD-4061,4.9,5ljo,2016-07-18T00:00:00Z,2016-10-05T00:00:00Z
EMD-8314,2.89,5l35,2016-08-10T00:00:00Z,2017-03-22T00:00:00Z
EMD-4088,4.9,5lmx,2016-10-11T00:00:00Z,2017-03-22T00:00:00Z
EMD-8395,4.5,5tb4,2016-09-29T00:00:00Z,2016-10-12T00:00:00Z
EMD-8394,4.7,5tb3,2016-09-29T00:00:00Z,2016-10-12T00:00:00Z
EMD-4114,3.2,5lwg,2016-10-11T00:00:00Z,2016-11-30T00:00:00Z
EMD-4064,3.42,5lk8,2016-07-21T00:00:00Z,2017-01-18T00:00:00Z
EMD-4115,3.2,5lwi,2016-10-11T00:00:00Z,2016-11-30T00:00:00Z
EMD-4063,3.42,5lk7,2016-07-21T00:00:00Z,2017-02-15T00:00:00Z
EMD-3446,3.8,5m5w,2016-10-24T00:00:00Z,2016-12-07T00:00:00Z
EMD-3490,3.06,5mdw,2016-11-13T00:00:00Z,2016-12-14T00:00:00Z
EMD-3489,2.97,5mdv,2016-11-13T00:00:00Z,2016-12-14T00:00:00Z
EMD-3493,3.1,5mdz,2016-11-13T00:00:00Z,2016-12-14T00:00:00Z
EMD-8505,3.5,5u4i,2016-12-04T00:00:00Z,2017-01-11T00:00:00Z
EMD-4214,3.4,6fai,2017-12-15T00:00:00Z,2018-02-28T00:00:00Z
EMD-8506,3.7,5u4j,2016-12-04T00:00:00Z,2017-01-11T00:00:00Z
EMD-8454,3.95,5tr1,2016-10-26T00:00:00Z,2017-01-11T00:00:00Z
EMD-3522,4.6,5mjs,2016-12-01T00:00:00Z,2017-12-20T00:00:00Z
EMD-3583,3.8,5mz6,2017-01-31T00:00:00Z,2017-03-08T00:00:00Z
EMD-6696,4.5,5wyk,2017-01-13T00:00:00Z,2017-03-29T00:00:00Z
EMD-8687,4.6,5vhy,2017-04-13T00:00:00Z,2017-05-03T00:00:00Z
EMD-8689,4.9,,2017-04-17T00:00:00Z,2018-04-25T00:00:00Z
EMD-8617,3.2,5uym,2017-02-24T00:00:00Z,2017-06-07T00:00:00Z
EMD-8620,3.8,5uyq,2017-02-24T00:00:00Z,2017-06-07T00:00:00Z
EMD-8619,3.9,5uyp,2017-02-24T00:00:00Z,2017-06-07T00:00:00Z
EMD-8618,4.0,5uyn,2017-02-24T00:00:00Z,2017-06-07T00:00:00Z
EMD-8615,3.9,5uyk,2017-02-24T00:00:00Z,2017-06-07T00:00:00Z
EMD-8616,3.6,5uyl,2017-02-24T00:00:00Z,2017-06-14T00:00:00Z
EMD-6711,3.3,5x8t,2017-03-03T00:00:00Z,2017-06-07T00:00:00Z
EMD-6724,4.1,5xjy,2017-05-04T00:00:00Z,2017-06-07T00:00:00Z
EMD-6732,3.8,5xlr,2017-05-11T00:00:00Z,2017-06-07T00:00:00Z
EMD-8272,1.9,5knz,2016-06-28T00:00:00Z,2016-12-21T00:00:00Z
EMD-8273,1.4,5ko0,2016-06-28T00:00:00Z,2016-12-21T00:00:00Z
EMD-4129,3.06,,2016-10-02T00:00:00Z,2016-12-07T00:00:00Z
EMD-4127,4.6,,2016-09-30T00:00:00Z,2016-11-23T00:00:00Z
EMD-8402,3.9,5tcu,2016-09-15T00:00:00Z,2017-05-24T00:00:00Z
EMD-8398,4.3,5tcp,2016-09-15T00:00:00Z,2016-12-21T00:00:00Z
EMD-8399,3.6,5tcq,2016-09-15T00:00:00Z,2016-12-21T00:00:00Z
EMD-8401,4.4,,2016-09-15T00:00:00Z,2016-12-21T00:00:00Z
EMD-3508,3.1,5mgp,2016-11-21T00:00:00Z,2016-12-14T00:00:00Z
EMD-4140,3.3,5m1j,2016-10-07T00:00:00Z,2017-01-18T00:00:00Z
EMD-3533,3.4,5mmm,2016-12-11T00:00:00Z,2017-01-11T00:00:00Z
EMD-3531,3.2,5mmi,2016-12-10T00:00:00Z,2017-01-11T00:00:00Z
EMD-3532,3.6,5mmj,2016-12-10T00:00:00Z,2017-01-11T00:00:00Z
EMD-3527,4.5,5mlv,2016-12-07T00:00:00Z,2018-08-08T00:00:00Z
EMD-3529,4.5,5mm4,2016-12-08T00:00:00Z,2018-06-27T00:00:00Z
EMD-8522,3.2,5u9g,2016-12-16T00:00:00Z,2017-03-22T00:00:00Z
EMD-8585,4.05,5upa,2017-02-02T00:00:00Z,2017-04-05T00:00:00Z
EMD-3630,3.1,5ned,2017-03-10T00:00:00Z,2017-06-21T00:00:00Z
EMD-3631,3.1,5nej,2017-03-10T00:00:00Z,2017-06-21T00:00:00Z
EMD-8477,3.8,5u07,2016-11-23T00:00:00Z,2017-08-09T00:00:00Z
EMD-8583,4.5,,2017-02-01T00:00:00Z,2017-03-22T00:00:00Z
EMD-8580,4.5,,2017-02-01T00:00:00Z,2017-03-22T00:00:00Z
EMD-8643,4.3,5v8l,2017-03-22T00:00:00Z,2017-05-03T00:00:00Z
EMD-8650,3.7,5va1,2017-03-24T00:00:00Z,2017-05-03T00:00:00Z
EMD-8652,4.0,5va3,2017-03-24T00:00:00Z,2017-05-03T00:00:00Z
EMD-8651,3.8,5va2,2017-03-24T00:00:00Z,2017-05-03T00:00:00Z
EMD-8644,4.4,5v8m,2017-03-22T00:00:00Z,2017-05-03T00:00:00Z
EMD-6707,4.2,5x5f,2017-02-15T00:00:00Z,2017-05-03T00:00:00Z
EMD-6718,3.6,,2017-04-16T00:00:00Z,2017-05-03T00:00:00Z
EMD-6720,3.62,,2017-04-16T00:00:00Z,2017-05-03T00:00:00Z
EMD-6719,3.38,,2017-04-16T00:00:00Z,2017-05-03T00:00:00Z
EMD-3730,3.4,5o2r,2017-05-22T00:00:00Z,2017-07-26T00:00:00Z
EMD-3727,4.4,5oa1,2017-05-17T00:00:00Z,2017-07-26T00:00:00Z
EMD-3729,3.85,,2017-05-17T00:00:00Z,2017-07-26T00:00:00Z
EMD-3695,3.8,5nsr,2017-04-26T00:00:00Z,2017-06-28T00:00:00Z
EMD-8762,2.26,5w3m,2017-06-08T00:00:00Z,2017-07-12T00:00:00Z
EMD-8763,3.01,5w3o,2017-06-08T00:00:00Z,2017-07-12T00:00:00Z
EMD-3697,4.9,,2017-04-27T00:00:00Z,2017-06-28T00:00:00Z
EMD-8795,3.5,5wc3,2017-06-29T00:00:00Z,2017-08-16T00:00:00Z
EMD-3565,4.25,5msh,2017-01-04T00:00:00Z,2017-07-19T00:00:00Z
EMD-3562,4.25,5ms1,2016-12-29T00:00:00Z,2017-07-19T00:00:00Z
EMD-8797,3.9,,2017-06-30T00:00:00Z,2017-08-16T00:00:00Z
EMD-8794,4.4,5wc0,2017-06-29T00:00:00Z,2017-08-09T00:00:00Z
EMD-3651,3.6,,2017-03-24T00:00:00Z,2017-07-19T00:00:00Z
EMD-8284,4.3,5ktz,2016-07-25T00:00:00Z,2016-11-02T00:00:00Z
